"biz_id","metadata_name","metadata_value","category_path","Label"
"605824","mcategory_ids","466","Healthcare > Optometrist","Optometrist"
"604990","mcategory_ids","464","Social > Food and Dining > Restaurants > International","International"
"605224","mcategory_ids","464","Social > Food and Dining > Restaurants > International","International"
"604820","mcategory_ids","464","Social > Food and Dining > Restaurants > International","International"
"605087","mcategory_ids","464","Social > Food and Dining > Restaurants > International","International"
"605160","mcategory_ids","457","Social > Food and Dining > Restaurants > Asian","Asian"
"605137","mcategory_ids","457","Social > Food and Dining > Restaurants > Asian","Asian"
"599994","mcategory_ids","451","Sports and Recreation > Golf > Golf Courses","Golf Courses"
"604973","mcategory_ids","449","Businesses and Services > Photography","Photography"
"148077","mcategory_ids","449","Businesses and Services > Photography","Photography"
"604796","mcategory_ids","449","Businesses and Services > Photography","Photography"
"92398","mcategory_ids","449","Businesses and Services > Photography","Photography"
"605083","mcategory_ids","447","Businesses and Services > Construction","Construction"
"157956","mcategory_ids","445","Retail > Party Supplies","Party Supplies"
"330885","mcategory_ids","445","Retail > Party Supplies","Party Supplies"
"89913","mcategory_ids","444","Retail > Office Supplies","Office Supplies"
"62261","mcategory_ids","442","Retail > Discount Stores","Discount Stores"
"6751","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"6750","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"584061","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"25160","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"125494","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"81254","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"6643","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"419034","mcategory_ids","436","Travel > Lodging > Hotels and Motels","Hotels and Motels"
"605126","mcategory_ids","430","Travel",""
"45236","mcategory_ids","430","Travel",""
"102557","mcategory_ids","430","Travel",""
"604697","mcategory_ids","425","Transportation > Transport Hubs > Airports","Airports"
"6736","mcategory_ids","421","Transportation > Taxi and Car Services > Car and Truck Rentals","Car and Truck Rentals"
"25154","mcategory_ids","421","Transportation > Taxi and Car Services > Car and Truck Rentals","Car and Truck Rentals"
"424959","mcategory_ids","421","Transportation > Taxi and Car Services > Car and Truck Rentals","Car and Truck Rentals"
"6738","mcategory_ids","421","Transportation > Taxi and Car Services > Car and Truck Rentals","Car and Truck Rentals"
"110698","mcategory_ids","414","Sports and Recreation > Yoga and Pilates","Yoga and Pilates"
"401759","mcategory_ids","402","Sports and Recreation > Skating","Skating"
"580854","mcategory_ids","400","Sports and Recreation > Recreation Centers","Recreation Centers"
"591256","mcategory_ids","400","Sports and Recreation > Recreation Centers","Recreation Centers"
"542434","mcategory_ids","399","Sports and Recreation > Racquet Sports > Tennis","Tennis"
"37992","mcategory_ids","395","Sports and Recreation > Personal Trainers","Personal Trainers"
"25148","mcategory_ids","395","Sports and Recreation > Personal Trainers","Personal Trainers"
"401760","mcategory_ids","388","Sports and Recreation > Outdoors > Campgrounds and RV Parks","Campgrounds and RV Parks"
"220187","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"294646","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"572224","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"162050","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"352825","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"351585","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"132213","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"583981","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"121424","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"413275","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"175539","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"604856","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"410370","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"2429","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"372732","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"184650","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"42755","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"604830","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"534111","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"538174","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"228028","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"562384","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"40187","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
"179550","mcategory_ids","385","Sports and Recreation > Gyms and Fitness Centers","Gyms and Fitness Centers"
