photo_category,label,sub_cat_id,parent_id,sid_category_id
7-eleven,,,238,
aaronbrothers,Aaron Brothers,,227,
adult,,,,2
african,African,,5,
american,,31,,
americanapparel,American Apparel,,28,
americanworldservices,American World Services,,18,
anntaylor,Ann Taylor,,28,
antiques,,249,,
applestore,Apple store,,1,
aquariums,Aquariums,,392,
arby's,Arby's,,14,
arcades_amusementparks,,137,,
archery,Archery,,42,
argentine,Argentine,,5,
artdealers_galleries,,227,,
arts_crafts,,86,,
asian,,6,,
asseenontv,As seen on tv,,226,
AT&T,At&t,,45,
automotive,,210,,
autosales,Autosales,,210,
bagels,Bagels,,156,
bakery,,35,,
bananarepublic,Banana republic,,28,
banking_finance,,349,,
bar_grill,Bar grill,,61,
barbecue,,67,,
barbers,Barbers,,12,
bars,,61,,
battingcage,Batting cage,,42,
bbq,Bbq,,67,
beach,,174,,
beauty,,12,,
beautyproducts,,262,,
beerbrew,,60,,
belgian,Belgian,,5,
bicycles,,53,,
bike,Bike,,53,
billiard,,189,,
bistro,Bistro,,5,
blickartmaterials,Blick art materials,,86,
bobatea,Boba tea,,34,
bodymodification,Body modification,,105,
bookstores,,216,,
boutique,Boutique,,28,
bowling,,71,,
brazilian,Brazilian,,5,
breakfast_brunch,Breakfast brunch,,5,
breweries,,60,,
british,British,,5,
buffalowildwings,Buffalo wild wings,,5,
buffet,Buffet,,5,
burgers,,56,,
bus_station,Bus station,,75,
butcher,Butcher,,119,
cafe,Cafe,,34,
camera,,190,,
campgrounds_rvparks,,333,,
car_truckrental,,152,,
cardealers_leasing,,230,,
cards_stationary,,290,,
caribbean,Caribbean,,5,
carl'sjr,Carl's jr,,14,
carparts,,398,,
carpenter,,344,,
carwash_detail,,162,,
catering,Catering,,5,
charlotterusse,Charlotte russe,,28,
chick-fil-a,Chick-fil-a,,14,
chicken,Chicken,,5,
chinese,,7,,
chipotle,Chipotle,,5,
chocolate,Chocolate,,5,
cinema,,100,,
cleaning,,128,,
clothing,,28,,
clothing_accessories,,28,,
clubmonaco,Club monaco,,5,
coffee,,34,,
combat_sports,,302,,
comedyclub,Comedy club,,101,
computers_electronics,,1,,
contemporary,Contemporary,,5,
continental,Continental,,5,
conveniencestores,,238,,
cookies,Cookies,,35,
crepes,Crepes,,35,
cuban,Cuban,,5,
culinary_lessons_schools,Culinary lessons schools,,5,
curry,Curry,,5,
cvs,Cvs,,238,
cycle,,430,,
cycling,,430,,
dance_music,,101,,
dancehalls_saloons,Dancehalls and saloons,,101,
daycare_preschools,,248,,
deli,,13,,
deltaco,Del taco,,14,
dentists,,228,,
departmentstore,,255,,
dessert,,171,,
diner,Diner,,5,
discountstores,,256,,
dominos,Dominos,,14,
donuts,Donuts,,35,
drycleaningironing_laundry,,301,,
eatery,Eatery,,5,
eddiebauer,Eddie bauer,,28,
elpolloloco,El pollo loco,,14,
entertainment,,70,,
escapeartistdc,Escape artist dc,,70,
ethiopian,Ethiopian,,5,
farmersmarkets,,313,,
fashion,,27,,
fastfood,,14,,
fdrmemorial,Fdr memorial,,319,
financial,,366,,
florists,,69,,
food_beverage,Food beverage,,5,
food_dining,Food dining,,5,
francesca'scollection,Francesca's collection,,28,
french,,159,,
fresh_easy,Fresh easy,,87,
friartuxshop,Friar tux shop,,28,
frozenyogurt,Frozen yogurt,,49,
furniture_dcor,,90,,
fusion,Fusion,,5,
gardens,Gardens,,109,
gastropub,Gastropub,,5,
gift_novelty,,226,,
glasses_optometrist,,309,,
go_carts,,432,,
golfcourses,,360,,
greek,Greek,,5,
grill,Grill,,5,
groceries,,87,,
guess,Guess,,28,
gunranges,Gunranges,,302,
gyms_fitnesscenters,,136,,
h&m,H&m,,28,
hairremoval,,104,,
hardware,,275,,
hawaiian,Hawaiian,,5,
health_dietfood,Health dietfood,,5,
healthy,Healthy,,5,
helicopter,Helicopter,,,1
hobbycollectibles,,161,,
"""holistic,alternative_naturopathicmedicine""",,347,,
homeappliances,,280,,
hookahbar,,274,,
hookahlounge,,274,,
horses,Horses,,,1
hotdogs,Hotdogs,,14,
hotels_motels,,23,,
housewares,,229,,
icecream,,49,,
iceskating,Ice skating,,,1
indian,,84,,
insurance,,291,,
irish,Irish,,5,
italian,,32,,
jamaican,Jamaican,,5,
japanese,Japanese,8,,
jcrew,Jcrew,,28,
jeffersonmemorial,Jefferson memorial,,319,
jewelry_watches,,134,,
joannfabrics_crafts,Joann fabrics & crafts,,161,
juice,,201,,
juices,,201,,
kabob,,,5,
karaoke,,287,,
katespade,,,28,
korean,,102,,
koreanbarbeque,Korean barbeque,,102,
landmarks,,108,,
landscaping_gardeners,,139,,
lanes,Lanes,,71,
latinamerican,Latin american,,5,
lebanese,Lebanese,,5,
lepainquotidien,Lepain quotidien,,5,
lighting,Lighting,,280,
lincolnmemorial,Lincoln memorial,,319,
luggage,,107,,
madewell,Madewell,,318,
maintenance_repair,,318,,
malls,Malls,,2,
manicure_pedicure,,66,,
market,Market,,87,
martinlutherkingjrmemorial,Martinluther king jr memorial,,319,
massages,,346,,
medicalsupplies,Medical supplies,,384,
mediterranean,Mediterranean,,5,
mensclothing,Mens clothing,,28,
mexican,,33,,
middleeastern,,40,,
mobilephones,,85,,
mopeds_scooters,,341,,
moroccan,Moroccan,,5,
movietheatres,,100,,
museums,,93,,
music_showvenues,,141,,
musicalinstruments_teachers,Musical instruments & teachers,,141,
musicvideo_dvd,,182,,
nationalwwiimemorial,National wwii memorial,,319,
newsstands,,439,,
nightclubs,,211,,
noodlebar,Noodlebar,,5,
officesupplies,,168,,
oil,,144,,
oil_lube,,144,,
optical,,402,,
organic,Organic,,5,
oysters,Oysters,,5,
paintball,,388,,
panini,Panini,,5,
papajohns,Papajohns,,14,
park,,109,,
parking,Parking,,151,
parks,,109,,
partysupplies,,350,,
pasta,Pasta,,5,
personalcare,,19,,
personaltrainers,,429,,
pets,,310,,
pharmacies,,213,,
pho,Pho,,5,
photo,,284,,
photography,,285,,
photos_frames,,243,,
pita,Pita,,5,
pizza,Pizza,39,,
pizzahut,Pizzahut,,14,
pizzeria,Pizzeria,,5,
planetbeauty,Planet beauty,,262,
printingcopying_signage,,266,,
pub,Pub,,5,
pubfood,Pubfood,,5,
qdoba,Qdoba,,5,
quiznos,Quiznos,,14,
rail_stations,Rail stations,,75,
ralphlauren,Ralph lauren,,28,
restaurant,,5,,
retail,,428,,
rockclimbing,Rock climbing,,42,
salad,Salad,,5,
salon,Salon,,262,
sandwiches,Sandwiches,,5,
seafood,Seafood,73,,
services_supplies,Services supplies,,168,
sharedofficespaces,Shared office spaces,,168,
"""shipping,freight,_materialtransportation""",,354,,
shoes,,36,,
skateboard,,271,,
skateshop,,271,,
skincare,,197,,
skydiving,Skydiving,,42,
smoke,Smoke,,155,
smoothies,Smoothies,,5,
soulfood,Soul food,,5,
soup,Soup,,5,
southern,Southern,,5,
southwestern,Southwestern,,5,
spas,,127,,
sportinggoods,,114,,
sports_recreation,,42,,
sportsbar,,91,,
steak,,150,,
steakhouse,,150,,
stevemadden,Steve madden,,28,
storage,,322,,
subs,Subs,,5,
subway,Subway,,14,
surfing,Surfing,,42,
sushi,,83,,
swimming_pools,,204,,
tacobell,Taco bell,,14,
tailors,,117,,
tanningsalon,Tanning salon,,262,
tapas,Tapas,,5,
tattooing,,105,,
taxi,,151,,
tcby,Tcby,,28,
tea,Tea,,5,
texmex,Tex mex,,5,
thai,,41,,
theater,,100,,
thelimited,The limited,,28,
tibetan,Tibetan,,5,
tires,,88,,
tobacco,,9,,
towing,,272,,
toys,,343,,
traderjoes,Trader joes,,87,
transmissions,,89,,
valvolineinstantoilchange,Valvoline instant oil change,,210,
vapes,Vapes,,155,
vegan,Vegan,,5,
vegetarian,Vegetarian,,5,
verizon,Verizon,,85,
veterinarians,,404,,
vietnamese,Vietnamese,,5,
vintage_thrift,Vintage thrift,,28,
washingtonmonument,Washington monument,,319,
watersports,,405,,
weightloss_nutritionists,,220,,
wholefoodsmarket,Whole foods market,,87,
wildlifesanctuaries,,392,,
wine_spirits,,254,,
winebar,,254,,
wings,Wings,,5,
wraps,Wraps,,5,
yoga,,334,,
yoga_pilates,,334,,
zoo,,392,,
